,age,gender,sex,women,woman,female,male,geolocation,geographical,geographic,country,countries,city,cities,hospital,hospitals,clinic,clinics,society,societies,etnicity,etnicities,race,bias,biases,fair,unfair,fairness,transparency,imbalance,imbalanced,balance,balanced,problem,problems,issue,issues,challenge,challenges,difficulty,difficulties,critic,critics,criticism,criticize,criticized,criticizing,critique,critiques,critiqued,critiquing
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching Between 3D and 2D Networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3D Teeth Reconstruction from Panoramic Radiographs Using Neural Implicit Functions,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Closed-Form Solution to Electromagnetic Sensor Based Intraoperative Limb Length Measurement in Total Hip Arthroplasty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A Coupled-Mechanisms Modelling Framework for Neurodegeneration,3,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A Denoised Mean Teacher for Domain Adaptive Point Cloud Registration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,4,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
A Flexible Framework for Simulating and Evaluating Biases in Deep Learning-Based Medical Image Analysis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
