,title,extracted_keyword_sent
0,Anatomy-Driven Pathology Detection on Chest X-rays,none
1,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,none
2,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,none
3,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,none
4,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,none
5,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,none
6,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,none
7,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"accordingly, direct knowledge transfer
using the output of the source domain predictor may lead to feature bias in the
student model due to the unavoidable covariance [20] between the target and
source domains."
8,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"for single-source domain
adaptation approach, cellsegssda and sfda-dpl, we employ two strategies to
ensure the fairness of the experiments: (1) single-source, i.e."
9,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,none
10,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"denoting the output of previous layer as z p et ,
the ct-guided cross-attention can be formulated as follows:where d is the number
of channels, b is the position bias, and conv(•) denotes the 1 × 1 × 1
convolution with stride of 1."
11,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,none
12,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"mesh2ssm also includes an analysis
network that operates on the learned correspondences to obtain a data-driven
template point cloud (i.e., template point cloud), which can replace the initial
template, and hence reducing the bias that could arise from template selection."
13,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"incorporating template feedback loop via vae [13,21] analysis module helps in
mitigating bias and capturing non-linear characteristics of the data."
14,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
15,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"it should be noted in contrast to [5] in which
only out-of-range samples were contributing to the loss, in this work, all
samples contribute to l vd to reduce the estimation bias.3-smoothness of epr is
considered by:4-picture loss is defined as l v = l vd + λ vs × l vs , where λ vs
is the weight of the smoothness loss."
16,SLPD: Slide-Level Prototypical Distillation for WSIs,"however, the
obtained clustering centers, i.e., the prototypes, are inclined to represent the
visual bias related to staining or scanning procedure rather than medically
relevant features [33]."
17,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
18,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,none
19,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
20,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,none
21,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"moreover, although the generalization validation on the training data batch may
introduce bias, providing sufficient training data ultimately benefits the
performance."
22,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,none
23,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
24,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
25,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,none
26,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,none
27,Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
28,Structured State Space Models for Multiple Instance Learning in Digital Pathology,none
29,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,none
30,Geometry-Invariant Abnormality Detection,none
31,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
32,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
